Images: 2, 3
[240.873, 120.296] -> [240.732, 120.322]
[80.9362, 133.691] -> [80.8997, 133.779]
[113.121, 128.634] -> [113.082, 128.557]
[78.0122, 62.8359] -> [77.9562, 62.8042]
[244, 150.974] -> [243.886, 151.024]
[86.9744, 74.8769] -> [86.9417, 74.8962]
[222.965, 111.989] -> [222.969, 111.946]
[237.978, 78.0248] -> [237.938, 78.0188]
[221.863, 129.887] -> [221.842, 129.815]
[206.052, 102.033] -> [206.109, 101.93]
[125.037, 107.992] -> [125.011, 107.982]
[131.067, 155.703] -> [130.594, 155.607]
[135.84, 127.612] -> [135.846, 127.569]
[200.111, 89.8244] -> [200.215, 89.6104]
[241.944, 94.0287] -> [241.913, 94.0469]
[279.648, 168.782] -> [279.884, 169.345]
[82.9522, 112.813] -> [82.9158, 112.884]
[238.84, 110.127] -> [238.745, 110.053]
[224.987, 76.0106] -> [224.968, 75.966]
[209.151, 115.092] -> [209.279, 115.04]
[50.8163, 102.95] -> [50.7211, 102.96]
